"","id","latitude","longitude","species_guess","scientific_name","common_name","iconic_taxon_name","taxon_id"
"87",3267843,49.052934,8.585257,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"88",3268008,45.14427,10.442953,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"89",3279864,45.404588,9.716383,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"90",3313157,45.718907,9.815641,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"91",3321662,41.927708,12.500046,"Ortica","Urtica dioica","stinging nettle","Plantae",51884
"92",3321929,41.616468,13.280437,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"93",3331217,44.6956515424,8.8010298375,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"94",3387985,56.2913202,13.6936367,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"95",3392712,62.3612091831,6.5580500756,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"96",3441336,41.8083955381,13.0915567508,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"97",3454968,46.3072334,10.7414966,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"98",3465739,41.525236,13.560557,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"99",3471118,47.0554194444,6.8560416667,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"100",3478794,42.62096,12.251553,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"101",3489638,45.226795,10.700502,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"102",3491619,52.5596658876,13.3990102635,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"103",3493201,46.989831,16.203781,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"104",3497484,44.11493,7.285244,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"105",3541074,41.363599,13.868777,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"106",3567066,44.816892281,7.4927323288,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"107",3588415,59.9357524452,10.7574176773,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"108",3632013,44.1204816779,12.2183203697,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"109",3636443,51.3508468093,12.4436275259,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"110",3637671,51.8274528988,5.8390858769,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"111",3650003,48.712570996,17.3331427574,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"112",3655647,41.5888519286,13.13402462,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"113",3655648,41.5884933469,13.1349639892,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"114",3672844,45.826945,16.024976,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"115",3691650,45.13837873,10.4363548,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"116",3697580,44.111589365,7.2969468387,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"117",3703049,46.0401205326,10.6318100616,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"118",3705549,46.6279296875,11.9306383133,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"119",3728167,47.2524624691,7.3629594594,"Ortiga","Urtica dioica","stinging nettle","Plantae",51884
"120",3820405,59.7325879099,17.8018856049,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"121",3832573,47.21918,8.685881,"Stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"122",3834060,48.5280390119,9.0715603351,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"123",3849733,54.6542472839,25.3036384583,"stinging nettle","Urtica dioica","stinging nettle","Plantae",51884
"124",3877382,44.943961,2.807318,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"125",3893438,42.5609,12.964374,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"126",3907766,49.299438,8.547663,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
"127",3922717,56.8700990943,16.6459608078,"Stinging Nettle","Urtica dioica","stinging nettle","Plantae",51884
